Country,All,M,F,Gender,Continent
Afghanistan,64.8,62.7,64.9,3,Asia
Albania,78.6,77,80.2,7.8,Europe
Algeria,76.9,75.7,78.1,2.4,Africa
Andorra,83.42,81.2,85.79,4.59,Europe
Angola,61.2,58.4,64,5.6,Africa
Antigua and Barbuda,77,75.9,78.1,2.3,North America
Argentina,76.7,73.2,80,6.8,South America
Armenia,75.1,71.3,78.5,7.2,Asia
Australia,83.4,81.5,85.4,3.9,Oceania
Austria,81.5,79.2,83.9,4.8,Europe
Azerbaijan,73,70.5,75.5,5,Asia
Bahamas ,73.9,71.7,76.1,4.4,South America
Bahrain,77.3,76.4,78.4,2,Asia
Bangladesh,72.6,70.9,74.6,3.7,Asia
Barbados,79.2,77.8,80.5,2.7,North America
Belarus,74.8,69.7,79.6,9.9,Europe
Belgium,81.6,79.3,83.9,4.7,Europe
Belize,74.6,71.7,77.8,6.1,North America
Benin,61.8,60.2,63.3,3.1,Africa
Bhutan,71.8,71.4,72.2,0.8,Asia
Bolivia,71.5,68.7,74.5,5.8,South America
Bosnia and Herzegovina,77.4,74.9,79.9,4.9,Europe
Botswana,69.6,69.5,72.4,5.8,Africa
Brazil,75.9,73.6,80.8,7.1,South America
Brunei,75.9,74.7,77.1,2.4,Asia
Bulgaria,75.1,71.5,78.7,7.1,Europe
Burkina Faso,61.6,60.7,62.3,1.5,Africa
Burundi,61.6,59.8,63.4,3.6,Africa
Cabo Verde,73,69.5,76.2,6.7,Africa
Cambodia,69.8,67.5,71.9,4.3,Asia
Cameroon,59.3,58,60.6,2.5,Africa
Canada,82.4,80.4,84.4,4,North America
Central African Republic,53.3,51.1,55.5,4.4,Africa
Chad,54.2,52.8,55.7,2.8,Africa
Chile,80.2,77.8,82.4,4.8,South America
China,76.9,74.8,79.2,4.4,Asia
Colombia,77.3,74.5,80,5.6,South America
Comoros,64.3,62.6,66.1,3.5,Africa
Costa Rica,80.3,77.7,82.9,5.2,North America
Cote D'ivoire,57.8,56.6,59.1,2.4,Africa
Croatia,79.1,76.6,81.6,5,Europe
Cuba,78.8,76.8,80.8,3.9,North America
Cyprus,81,78.9,83,4.2,Europe
Czechia,79.4,76.8,81.9,5.2,Europe
Dem. Rep. of the Congo,60.7,59.1,62.2,3.1,Africa
Denmark,80.9,78.9,82.9,5,Europe
Djibouti,67.1,65.1,69.4,4.2,Africa
Dominica,72.8,69.7,76.3,6.6,North America
Dominican Republic,74.1,71,77.4,6.4,North America
Ecuador,77,74.3,79.8,5.5,South America
Egypt,72,69.7,74.3,4.6,Africa
El Salvador,73.3,68.5,77.8,9.4,North America
Equatorial Guinea,58.7,57.7,59.9,2.2,Africa
Eritrea,66.3,64.2,68.6,4.4,Africa
Estonia,78.8,74.4,82.7,8.4,Europe
Eswatini,60.2,56,64.8,8.7,Africa
Ethiopia,66.6,65,68.5,3.8,Africa
Federated States of Micronesia,67.9,66.2,69.6,3.4,Oceania
Fiji,67.4,65.7,69.3,3.6,Oceania
Finland,81.9,79.1,84.7,5.7,Europe
France,82.7,79.7,85.5,5.8,Europe
Gabon,66.5,65.4,68.7,4.7,Africa
Georgia,73.8,69.3,78.1,8.8,Asia
Germany,81.3,78.9,83.7,4.8,Europe
Ghana,64.1,63,65.2,2.2,Africa
Greece,82.2,79.8,84.7,4.9,Europe
Grenada,72.4,70.1,75,4.8,North America
Guatemala,74.3,72.2,77.2,4.1,North America
Guinea,61.6,60.9,62.1,1.2,Africa
Guinea-Bissau,58.3,56.3,60.2,3.9,Africa
